"Improve","Key","Value"
26.2847291053267,"Lat","-2.5"
12.9086646180558,"Lat","2.5"
4.14916603714391,"Lon","57.5"
3.80997412281158,"Lat","7.5"
3.30135318616703,"Lon","42.5"
2.33855875985864,"Lat","-7.5"
2.1081118143602,"Lon","37.5"
1.89343955277764,"Lon","52.5"
1.88395578998097,"Lon","47.5"
1.77314638398548,"Lon","62.5"
1.71219810627372,"Qrt","1"
1.6301667108537,"Lon","82.5"
1.60690420774972,"Qrt","2"
1.54602394689391,"Lon","77.5"
1.28479282467742,"Lon","72.5"
1.1591711539304,"Lon","67.5"
1.09643565831357,"CQrt","14;23"
1.03275398217102,"CQrt","134;2"
0.9969872660904,"Lat","17.5"
0.98187166612297,"Lat","-12.5"
0.95833342813421,"Lon","87.5"
0.81029143129399,"Lat","12.5"
0.780570532479032,"Lat","-17.5"
0.490077260275029,"CQrt","124;3"
0.464792779426716,"Qrt","3"
0.380180927048059,"Lat","-22.5"
0.31428085211428,"Lon","92.5"
