"method","Yr","Seas","Flt","Gender","Part","Nsamp","30","40","50","60","70","80","90","100","110","120","130","140","150","160","170","180"
1,161,1,17,0,0,5,0.000547915431212564,0.0279555479863306,0.0916593011781971,0.0466454690449504,0.0438606090983666,0.0609524066013996,0.0403820325821475,0.0705514911821502,0.109748164969144,0.133114598129279,0.115471614008456,0.129164976130577,0.0797757161651755,0.0416392563689172,0.00841797639016631,0.000112924733530165
1,162,1,17,0,0,5,0.00407956550601053,0.0165490975615318,0.0736217671414669,0.063929549658522,0.0471484818675464,0.0478257709720116,0.0667902155941276,0.0649778967991128,0.101495506281632,0.115798494791563,0.101007194813878,0.153527671086139,0.0960171105102222,0.0411073816092733,0.00477369105092708,0.00135060475603532
1,164,1,17,0,0,5,0.00173949214578399,0.0224851484861629,0.0655182836734865,0.0439718603955133,0.0559100007289007,0.0958297184150063,0.0900589328967569,0.103284745772938,0.0890596770771329,0.0994144799182376,0.105501930867692,0.103004304015952,0.0818648598541759,0.0361033253282537,0.00610983750023494,0.000143402923772774
1,165,1,17,0,0,5,0.00363806177998609,0.0243320352186427,0.0684051893204874,0.0366926039694363,0.0380530242177653,0.0907373575414357,0.0816312183092696,0.107340950881375,0.11497324288437,0.103651343534682,0.102989643993222,0.0944012198224497,0.0896353603352606,0.0371008937700494,0.00532930258608951,0.00108855183547811
1,168,1,17,0,0,5,0.0100986020464194,0.0365516870431342,0.091209771414048,0.0663415566082061,0.0580361217768544,0.0657996614536928,0.0257014514203293,0.0168035724265216,0.158183005447664,0.125131301098962,0.0772731775690143,0.130367996416946,0.0651571799604864,0.00732859116787123,0.0660163241498507,0
1,169,1,17,0,0,5,0.00416112436314428,0.0251228870892036,0.0649859850408843,0.0496135310207368,0.0541127457655947,0.0565120811129454,0.0584855340699464,0.10170492959706,0.102813357893777,0.137899627505356,0.0999205474048589,0.119852451068911,0.0851411942811839,0.0300166302746481,0.00854765738030869,0.00110971613144112
1,172,1,17,0,0,5,0.00571734305832307,0.0150272519767888,0.0632133530205756,0.0279331783965235,0.0614730840901992,0.0591263047515342,0.0742986978390966,0.13819933462868,0.117080324742796,0.128014449822308,0.113970815803442,0.0864166631660239,0.0797828057905487,0.0228226667763207,0.00692372613683945,0
1,173,1,17,0,0,5,0.0033663027211366,0.0207444633638954,0.0856243233275509,0.043029259136466,0.030424054591748,0.0629262007368632,0.0727675988655158,0.0903765752723728,0.121635297320676,0.120371010101283,0.108040911755731,0.129342408414316,0.080293158747844,0.025406187508326,0.0052883418430006,0.000363906293273209
1,174,1,17,0,0,5,0,0.0870710637591451,0,0.0949715432547235,0.0342160002928299,0.131284944187651,0.042594981196468,0.0536271843112981,0.198700003799685,0.0955701481437122,0.084188050506606,0.0557080804170632,0.0662534225917025,0.0558145775391156,0,0
1,175,1,17,0,0,5,0.00330596673548067,0.0217232002060496,0.0456902008923738,0.0392261300424267,0.0464830694683207,0.102566661493072,0.0694003038964519,0.0714999107865124,0.135399836963104,0.109085657048291,0.131803784386818,0.137415085991353,0.069199792451617,0.0131968602212242,0.00400353941690583,0
